cluster_id,cluster_type,record_count,canonical_email_id,datasets_involved,member_email_ids,evidence
exact_cluster_1fbbac1cebfab6cf,exact_normalized_full,3,email_9052679456e37204fc02ae767baba553,enron,email_06e21c27af7d817b593a4fb4c8a08d89|email_9052679456e37204fc02ae767baba553|email_efeaa720c42d2fc99d5b1dea0e1c9164,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_b693a5ab7229913b,exact_normalized_full,3,email_523372485ac6e8939e58ebc1031320d8,enron,email_286f5f7021acf0109043ec927df4c8ba|email_523372485ac6e8939e58ebc1031320d8|email_b94bec2977923952c72b16711f610006,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_d86a81c18a1076db,exact_normalized_full,3,email_80d90e9f84787b08680fe771574aa6d1,enron,email_80d90e9f84787b08680fe771574aa6d1|email_dfae7f00304de52485b436774573049e|email_f815394d92fce0a50f122aed1903b141,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_0135b30fe277d57c,exact_normalized_full,3,email_70c38022d9293178dd01ae90cb322bf7,enron,email_70c38022d9293178dd01ae90cb322bf7|email_aad344a9897bed827c85f3cd08383ad1|email_c9a0930df38468bd2dc0f12f44dbada4,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_b0f68df30cbd8afe,exact_normalized_full,3,email_ceaf8379abe9446234b26276546037df,enron,email_8e556443841301e323b09fa84542b11a|email_ceaf8379abe9446234b26276546037df|email_ff2924a9e8069f070d990385815f8c2e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_5eedb72aecd94d9a,exact_normalized_full,3,email_3e6cc87254e4008ec8ee8d7094bcfd4d,enron,email_3e6cc87254e4008ec8ee8d7094bcfd4d|email_6935d0440365f9abdc221371e8a6b317|email_96d96df3807730d2e59c7aac795660eb,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fdb9fa219bd5f3c8,exact_normalized_full,3,email_1a2b1d8f630b53e9964a776839498659,enron,email_1a2b1d8f630b53e9964a776839498659|email_8d1b083d482d1f81ff924e3256f39f5f|email_93887a30aae215e3f63eb1b89d7ea494,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_fd4114229df6edab,exact_normalized_full,3,email_519a943a0974b3a67da06c5f650777bc,enron,email_1c459a3e6ff3d849d81ec033a99c1b52|email_36106008e483659bbd1fc613e587a7d3|email_519a943a0974b3a67da06c5f650777bc,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_717cdc723b83691d,exact_normalized_full,2,email_9d9577246fb8075a242f49f22a344c28,enron,email_9d9577246fb8075a242f49f22a344c28|email_db6e0fb2f44cacdb2d47143c47bf1570,"raw_hashes=2, full_hashes=1, body_hashes=1"
exact_cluster_bf97dc488c4416e3,exact_normalized_full,3,email_6adf9f386b20e86ff953f973d8f0f628,enron,email_2cc508245f2d366eb8e43c36f9c0595e|email_6adf9f386b20e86ff953f973d8f0f628|email_c3f247b4c89105c08b2a07e1e83bf9f7,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_4d5002d6d6583f18,exact_normalized_full,3,email_7e6014fc8dd314333d7e4f43508846c5,enron,email_21c4b6b0d01dafbffa692f3f64a8db5a|email_7e6014fc8dd314333d7e4f43508846c5|email_a439fa998d3a6e2a7a5f0dbef7081383,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_cac5e79a65569254,exact_normalized_full,3,email_5c0b7cd72055132909f6a5941979a301,enron,email_176c9caa53c8f65c5509665e2e0b12eb|email_5c0b7cd72055132909f6a5941979a301|email_ba3470587cb3446a725541315e4d1467,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_ac026bb46a164776,exact_normalized_full,3,email_e59702ddadd52c9ed24e05e6e8cd4e1e,enron,email_b5436c97875bf65bd2ad980b13116800|email_d02b665e0af3421083b89825fc147cf0|email_e59702ddadd52c9ed24e05e6e8cd4e1e,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_6091fa7669546461,exact_normalized_full,3,email_911b6122dad953f602550b2c171dc42d,enron,email_4736afec80d84818ad3655222b1d12cc|email_4adfee0bf355c88d0a8fec54334039d4|email_911b6122dad953f602550b2c171dc42d,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_cfdcd71c540e4528,exact_normalized_full,3,email_1bd7cb949861f978582bfda165c739aa,enron,email_1bd7cb949861f978582bfda165c739aa|email_61847dbdce4e9452c5a792afacaba20c|email_e70076b1cfba066109f236a4b26ae2d7,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_3d5d08adb301fc0f,exact_normalized_full,3,email_95d57facd99f70ef058865ce984abe56,enron,email_4f07aefcb38f2631d5be7db18d6f8d24|email_95d57facd99f70ef058865ce984abe56|email_d31384267d27a9293b71a05826d3f96c,"raw_hashes=3, full_hashes=1, body_hashes=1"
exact_cluster_aa992a50c983e452,exact_normalized_full,3,email_6933857daa3f614e3fee32fd1f667cae,enron,email_6708e478a13e6a612feac7922b592316|email_6933857daa3f614e3fee32fd1f667cae|email_ab3ae0efd5a55a2d07cbd446fb54bb81,"raw_hashes=3, full_hashes=1, body_hashes=1"
